Personal Opinion: DOBBS V. JACKSON (Group A),Court Ruling: DOBBS V. JACKSON (Group A),Personal Opinion: DOBBS V. JACKSON (GROUP B),Court Ruling: DOBBS V. JACKSON (Group B),Personal Opinion: ROE V. WADE,Court Ruling: ROE V. WADE,Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Personal Opinion: CARSON V. MAKIN (Group A),Court Opinion: CARSON V. MAKIN (Group A),Personal Opinion: CARSON V. MAKIN (Group B),Court Opinion: CARSON V. MAKIN (Group B),Personal Opinion: U.S. V. ZUBAYDAH (GROUP A),Court Ruling: : U.S. V. ZUBAYDAH (GROUP A),Personal Opinion: U.S. V. ZUBAYDAH (GROUP B),Court Ruling: U.S. V. ZUBAYDAH (GROUP B),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Personal Opinion: RAMIREZ V. COLLIER (Group A),Court Ruling: RAMIREZ V. COLLIER (Group A),Personal Opinion: RAMIREZ V. COLLIER (Group B),Court Ruling: RAMIREZ V. COLLIER (Group B),Personal Opinion: SHURTLEFF V. BOSTON (Group A),Court Ruling: SHURTLEFF V. BOSTON (Group A),Personal Opinion: SHURTLEFF V. BOSTON (Group B),Court Ruling: SHURTLEFF V. BOSTON (Group B),"Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)",Personal Opinion: BIDEN V. MISSOURI (Group A),Court Opinion: BIDEN V. MISSOURI (Group A),Personal Opinion: BIDEN V. MISSOURI (Group B),Court Opinion: BIDEN V. MISSOURI (Group B),Personal Opinion: WEST VIRGINIA V. EPA (Group A),Court Ruling: WEST VIRGINIA V. EPA (Group A),Personal Opinion: WEST VIRGINIA V. EPA (Group B),Court Ruling: WEST VIRGINIA V. EPA (Group B),Personal Opinion: TRUMP V. THOMPSON (Group A),Court Ruling: TRUMP V. THOMPSON (Group A),Personal Opinion: TRUMP V. THOMPSON (Group B),Court Ruling: TRUMP V. THOMPSON (Group B),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Personal Opinion: BIDEN V. TEXAS (Group A),Court Ruling: BIDEN V. TEXAS (Group A),Personal Opinion: BIDEN V. TEXAS (Group B),Court Ruling: BIDEN V. TEXAS (Group B),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group A),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group A),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group B),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group B),Typical Court Votes,Justice Tenure,Last Say in Conflict of Meaning,Justice Selection,Current Chief Justice,Most Recent Justice,Republican Appointed Justices,Appointing President Partisanship Effects,How much do you approve of the performance of the Supreme Court?,Judges at odds with the people should be removed,U.S. Supreme Court is too independent,"If the U.S. Supreme Court started making a lot of decisions that most people disagree with, it might be better to do away with the Supreme Court altogether",The U.S. Supreme Court gets too mixed up in politics,The U.S. Supreme Court can be trusted to make right decisions,Respondent Ideology,Court Ideology,Increase Court Size,Limit Court Terms,Closeness to Ketanji Brown Jackson,Senate and Consideration to Nominees,Should Ketanji Brown Jackson be Approved,"Appropriateness of ""Shadow Docket"" Rulings",Political Interest,Most watched cable news network,Ideology - 3 categories,Ideology - 5 categories,Voter Registration Status,Voter Registration - 2 categories,Party ID - 3 categories,Party ID - 7 categories,2020 Turnout,2020 President Vote Post Election,Gender,Birth Year,Age,Age - 4 categories,Race,Race - 4 categories,Educational Attainment,Education - 4 categories,Marital Status,Children Under 18,State of Residence,Census Region,Area Type,Own or Rent Home,Employment status among non-students,Family income,Family Income - 3 categories,Military Household - I am,Military Household - Family,Military Household - I served previously,Military Household - Family served previously,Military Household - None,"Yes, I am","Yes, household member is",No,Volunteer Activities,Importance of Religion,Church Attendance,Born Again,Prayer Frequency,Affiliation,A/B Randomization,Questionnaire Start Time,Questionnaire End Time,Questionnaire Last Modified Time,Case ID,weight
.,.,1,1,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,3,2,3,3,5,3,6,3,3,3,3,3,3,3,57.0,49.0,3,3,3,2,1,2,2,5,4,6,2,2,5,4,2,6,2,1992.0,29.0,1,2,2,2,1,3,2,48,3,4,1,4,97,4,2,2,2,2,1,2,2,1,2,4,6,2,8,11,2,2022-04-05 15:48:01.513000,2022-04-05 17:47:39.063000,2022-04-05 17:47:38.919000,1774413361.0,1.16516782356366
.,.,1,1,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,1,2,2,2,4,5,4,2,2,2,4,4,4,2,35.0,46.0,4,2,1,1,1,2,1,5,1,2,1,1,1,1,1,1,2,2001.0,20.0,1,3,3,4,2,5,2,6,4,2,1,.,97,4,2,2,2,2,1,2,2,1,1,4,6,2,7,10,2,2022-04-05 17:44:50.099000,2022-04-05 17:55:10.725000,2022-04-05 17:55:10.426000,1774536405.0,0.451420763421192
1,1,.,.,1,2,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,1,2,3,2,7,1,3,3,4,3,2,1,70.0,84.0,1,2,1,2,1,1,2,1,2,3,1,1,2,6,1,1,1,2000.0,21.0,1,3,3,2,1,5,2,48,3,3,1,.,3,1,2,2,2,2,1,2,2,1,2,2,6,2,7,11,1,2022-04-05 17:51:38.863000,2022-04-05 17:56:56.698000,2022-04-05 17:56:56.551000,1774539387.0,0.922722815027019
1,2,.,.,2,1,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,2,2,4,5,6,4,5,4,4,1,3,5,20.0,85.0,1,1,1,1,1,2,1,5,1,1,1,1,4,3,2,6,1,2003.0,19.0,1,2,2,2,1,5,2,42,1,1,3,.,7,2,2,2,2,1,2,2,2,1,2,3,6,2,7,9,1,2022-04-05 16:52:30.405000,2022-04-05 18:07:28.904000,2022-04-05 18:07:28.722000,1774507793.0,1.44342013612316
.,.,1,1,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,1,2,2,2,4,5,6,3,2,4,4,4,3,2,20.0,77.0,4,2,1,1,1,2,1,5,1,2,1,1,1,1,1,1,1,1988.0,34.0,2,1,1,2,1,5,2,36,1,2,3,2,8,2,2,2,2,2,1,2,2,1,2,4,6,2,7,9,2,2022-04-05 17:56:00.155000,2022-04-05 18:09:35.246000,2022-04-05 18:09:13.052000,1774461273.0,1.31713531033997
1,1,.,.,2,2,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,2,2,1,5,5,1,4,1,5,1,1,4,9.0,91.0,3,2,1,1,1,2,2,1,1,1,1,1,3,3,1,1,1,1979.0,42.0,2,3,3,3,2,1,1,48,3,1,1,1,7,2,2,2,2,1,2,2,2,1,2,2,4,2,1,11,1,2022-04-05 17:48:04.036000,2022-04-05 18:15:29.597000,2022-04-05 18:15:29.007000,1774538569.0,0.483357643015591
.,.,2,2,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,2,2,2,2,4,5,5,3,3,3,3,3,3,2,78.0,63.0,3,3,2,1,1,1,2,1,3,4,1,1,2,6,1,2,1,1988.0,33.0,2,3,3,2,1,1,2,42,1,4,1,1,9,2,2,2,2,2,1,2,2,1,2,2,3,1,2,1,2,2022-04-05 18:08:22.236000,2022-04-05 18:19:33.297000,2022-04-05 18:19:32.750000,1774550151.0,1.65473672570933
.,.,2,1,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,5,2,1,1,5,5,9,3,1,1,1,1,1,1,91.0,97.0,1,1,2,1,1,1,1,5,3,5,1,1,1,1,2,6,2,1983.0,39.0,2,2,2,2,1,5,1,22,3,4,1,7,4,1,2,2,2,2,1,2,2,1,2,1,1,1,7,2,2,2022-04-05 18:16:00.451000,2022-04-05 18:19:54.630000,2022-04-05 18:19:51.848000,1774544955.0,2.17955362698732
.,.,1,1,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,1,1,2,2,4,3,9,2,1,1,1,1,1,1,51.0,51.0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1979.0,43.0,2,2,2,1,1,5,1,21,3,1,2,7,1,1,2,2,2,2,1,2,2,1,2,4,6,2,7,9,2,2022-04-05 18:09:46.813000,2022-04-05 18:20:47.341000,2022-04-05 18:20:43.409000,1774271259.0,1.36913818452907
.,.,2,2,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,1,2,2,2,4,5,5,2,4,5,4,5,1,4,57.0,39.0,5,4,2,1,2,2,1,5,2,3,1,1,3,5,1,2,1,1978.0,43.0,2,3,3,3,2,1,2,39,2,2,1,2,9,2,2,2,2,1,2,2,2,1,2,4,6,2,7,11,2,2022-04-05 18:06:41.183000,2022-04-05 18:21:00.321000,2022-04-05 18:20:59.817000,1774546179.0,0.791451350670082
1,2,.,.,2,2,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,2,2,4,5,6,1,4,2,4,3,2,5,3.0,86.0,3,1,1,1,1,2,1,5,1,1,1,1,3,3,1,1,1,1997.0,24.0,1,1,1,2,1,5,2,55,2,2,3,4,4,1,2,2,2,1,2,2,2,1,2,4,6,2,6,11,1,2022-04-05 18:14:34.426000,2022-04-05 18:22:54.488000,2022-04-05 18:22:54.301000,1774547267.0,0.685170284916519
2,2,.,.,2,2,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,2,2,4,2,3,2,4,3,3,2,5,2,35.0,37.0,2,1,2,2,1,1,2,1,3,4,3,2,3,4,1,2,1,1991.0,31.0,2,1,1,1,1,5,1,45,3,1,1,.,1,1,1,2,2,2,2,1,2,2,2,1,4,1,1,1,1,2022-04-05 18:32:16.128000,2022-04-05 18:36:33.163000,2022-04-05 18:36:30.328000,1774555475.0,0.967473673884502
.,.,2,2,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,1,2,2,2,4,5,6,2,2,4,3,3,4,4,100.0,75.0,5,5,2,2,2,2,1,5,3,5,1,1,2,7,1,2,1,1978.0,44.0,2,1,1,2,1,1,1,48,3,2,1,1,7,2,2,2,1,1,2,2,2,1,2,2,3,1,6,2,2,2022-04-05 18:24:59.725000,2022-04-05 18:39:28.312000,2022-04-05 18:39:24.783000,1774064595.0,0.989933564628123
.,.,1,2,2,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,2,2,2,2,4,5,6,1,5,2,1,1,5,5,0.0,85.0,1,1,1,2,1,2,1,5,1,1,1,1,1,2,1,1,1,1991.0,30.0,2,1,1,2,1,5,2,36,1,1,1,1,97,4,2,2,2,1,2,2,2,1,1,2,4,2,7,5,2,2022-04-05 18:38:08.227000,2022-04-05 18:49:01.873000,2022-04-05 18:48:56.343000,1774556515.0,1.31713531033997
1,2,.,.,1,1,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,3,2,2,2,4,3,5,3,3,3,4,3,1,2,52.0,80.0,4,3,2,2,2,2,3,5,4,6,1,1,1,1,1,1,2,1998.0,24.0,1,3,3,3,2,5,2,20,2,3,3,6,97,4,2,2,2,2,1,2,2,1,2,4,7,2,7,11,1,2022-04-05 18:44:55.749000,2022-04-05 18:50:56.209000,2022-04-05 18:50:56.091000,1774479895.0,0.387317199552205
1,1,.,.,2,2,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,3,1,3,4,8,2,3,2,3,3,3,2,48.0,66.0,2,3,2,2,2,2,1,4,3,5,1,1,2,7,1,2,1,1997.0,24.0,1,1,1,1,1,5,2,45,3,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,7,2,7,11,1,2022-04-05 18:47:55.687000,2022-04-05 18:51:38.860000,2022-04-05 18:51:38.715000,1774565719.0,0.716055622133469
.,.,1,1,2,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,2,1,2,3,3,3,3,2,3,3,4,3,2,4,79.0,76.0,3,2,2,1,2,1,7,1,4,6,1,1,5,8,2,6,2,2001.0,20.0,1,3,3,2,1,5,2,9,1,3,2,4,2,1,2,2,2,1,2,2,2,1,2,2,7,2,3,11,2,2022-04-05 17:18:08.266000,2022-04-05 19:01:41.194000,2022-04-05 19:01:41.040000,1774266035.0,2.5352619227063
1,1,.,.,2,2,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,1,2,1,4,5,2,5,2,2,3,3,5,3.0,66.0,3,1,1,1,1,2,2,5,1,1,1,1,5,3,1,1,1,1995.0,27.0,1,1,1,2,1,5,2,20,2,1,3,3,1,1,2,2,2,2,1,2,2,1,2,4,5,2,7,9,1,2022-04-05 18:31:49.048000,2022-04-05 19:02:14.878000,2022-04-05 19:02:14.435000,1774555379.0,0.609923341565737
.,.,2,2,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,5,1,2,1,4,4,9,3,1,2,3,3,3,1,14.0,14.0,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,6,1,1988.0,33.0,2,1,1,2,1,1,1,24,3,2,1,2,5,1,2,2,2,1,2,2,1,2,2,3,5,1,6,1,2,2022-04-05 18:28:01.541000,2022-04-05 19:02:33.004000,2022-04-05 19:02:29.770000,1774554747.0,1.57028469979014
.,.,1,1,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,2,2,2,2,4,5,5,2,4,4,4,3,1,4,51.0,55.0,5,1,3,1,2,2,1,5,2,3,1,1,2,6,1,2,1,1998.0,23.0,1,1,1,2,1,5,2,1,3,3,1,1,3,1,2,2,2,2,1,2,2,1,2,2,5,2,1,6,2,2022-04-05 18:50:04.281000,2022-04-05 19:04:48.336000,2022-04-05 19:04:44.861000,1774566123.0,0.716055622133469
.,.,1,2,2,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,2,2,2,2,1,4,2,3,4,1,5,4,5,4,1,30.0,31.0,5,4,1,2,2,2,4,5,1,2,2,2,1,2,2,6,1,1981.0,41.0,2,3,3,2,1,5,2,48,3,1,3,6,1,1,2,2,1,1,2,2,2,1,2,4,6,2,6,2,2,2022-04-05 18:53:20.741000,2022-04-05 19:15:19.134000,2022-04-05 19:15:14.751000,1774567867.0,5.01371164993158
1,2,.,.,2,2,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,2,3,3,3,1,3,3,3,3,3,3,3,53.0,54.0,3,3,3,2,2,1,7,5,4,6,2,2,1,1,2,6,2,1992.0,29.0,1,3,3,1,1,5,2,36,1,1,2,3,1,1,2,2,2,2,1,1,2,2,2,2,6,2,7,2,1,2022-04-05 19:17:31.180000,2022-04-05 19:19:26.206000,2022-04-05 19:19:26.058000,1774580213.0,3.42118046396485
.,.,1,2,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,4,3,2,3,4,3,5,2,3,3,3,3,3,3,49.0,48.0,3,3,3,2,1,2,1,5,4,6,3,2,5,4,2,6,1,1977.0,44.0,2,1,1,2,1,1,1,23,1,4,1,6,5,1,2,2,2,2,1,2,2,1,2,1,6,2,2,11,2,2022-04-05 19:15:58.190000,2022-04-05 19:22:14.548000,2022-04-05 19:22:13.749000,1774579951.0,0.979056758563954
1,1,.,.,2,2,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,2,2,1,4,5,1,4,3,5,5,1,2,25.0,85.0,1,2,1,1,1,2,2,5,1,2,1,1,3,3,1,1,1,1979.0,43.0,2,3,3,4,2,5,2,48,3,2,2,1,3,1,2,2,2,2,1,2,2,1,2,4,6,2,6,11,1,2022-04-05 18:17:37.720000,2022-04-05 19:23:03.183000,2022-04-05 19:23:02.694000,1774551669.0,0.483357643015591
2,1,.,.,2,1,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,3,2,1,2,4,2,7,1,1,1,1,1,1,1,86.0,87.0,1,1,1,1,1,1,1,3,3,5,1,1,2,7,1,2,1,1985.0,36.0,2,1,1,2,1,1,1,8,4,1,1,1,8,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2022-04-05 19:16:33.341000,2022-04-05 19:27:29.809000,2022-04-05 19:27:27.125000,1774251525.0,1.04367771829908
.,.,2,2,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,4,1,2,1,4,5,7,3,3,2,3,2,2,3,63.0,72.0,1,3,3,2,1,1,3,5,2,3,2,2,3,4,2,6,1,1995.0,27.0,1,3,3,2,1,5,2,12,3,3,1,1,9,2,2,2,2,2,1,2,2,1,2,2,5,2,6,2,2,2022-04-05 19:28:58.847000,2022-04-05 19:31:49.060000,2022-04-05 19:31:48.936000,1774582201.0,3.93745808850294
1,1,.,.,2,1,2,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,2,2,4,5,7,4,4,3,4,3,3,3,48.0,89.0,1,3,3,1,1,2,1,5,2,3,1,1,3,4,1,1,1,1983.0,38.0,2,1,1,2,1,5,2,19,2,3,2,1,5,1,2,2,2,2,1,2,2,1,1,4,6,2,7,9,1,2022-04-05 19:32:11.305000,2022-04-05 19:37:56.584000,2022-04-05 19:37:45.046000,1774582799.0,0.947235161011348
.,.,2,2,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,2,1,2,1,5,4,5,3,3,2,3,5,3,2,50.0,70.0,4,1,3,1,1,2,3,5,2,3,1,1,2,6,2,6,1,1984.0,37.0,2,1,1,2,1,1,1,40,3,3,1,1,3,1,2,2,2,1,2,2,2,1,2,3,5,2,5,11,2,2022-04-05 19:23:00.560000,2022-04-05 19:41:04.669000,2022-04-05 19:40:49.547000,1774581131.0,1.33756657916216
1,2,.,.,1,2,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,4,2,1,2,1,4,8,2,2,2,1,2,2,1,83.0,91.0,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1981.0,40.0,2,3,3,5,3,1,1,4,4,2,1,1,10,3,2,2,2,2,1,2,2,1,1,1,2,2,2,1,1,2022-04-05 19:36:57.850000,2022-04-05 19:42:52.864000,2022-04-05 19:42:52.335000,1774050033.0,0.380306388758119
1,1,.,.,2,2,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,3,2,2,2,4,3,3,5,1,5,5,5,3,2,56.0,60.0,3,5,3,1,1,1,2,1,2,3,1,1,3,4,1,1,1,1984.0,37.0,2,1,1,2,1,5,2,39,2,1,3,3,1,1,2,2,2,2,1,2,2,1,2,2,5,2,6,3,1,2022-04-05 18:20:12.364000,2022-04-05 19:43:35.142000,2022-04-05 19:43:34.683000,1774551999.0,0.947235161011348
2,2,.,.,2,2,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,3,3,3,4,7,3,3,2,3,3,3,3,46.0,63.0,3,3,3,1,2,2,4,5,4,6,2,2,3,4,2,6,1,1993.0,28.0,1,1,1,2,1,1,2,39,2,3,1,1,10,3,2,2,2,2,1,2,2,1,2,4,6,2,7,11,1,2022-04-05 19:31:49.178000,2022-04-05 19:43:37.122000,2022-04-05 19:43:36.947000,1774582729.0,1.16038697469061
2,1,.,.,2,1,1,1,.,.,1,2,.,.,.,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,3,3,3,2,5,10,3,5,3,3,3,3,3,89.0,84.0,3,3,3,1,2,1,7,5,4,6,3,2,5,4,2,6,1,1978.0,43.0,2,2,2,1,1,5,2,6,4,4,2,6,2,1,2,2,2,2,1,2,2,1,2,1,7,2,8,11,1,2022-04-05 17:12:46.737000,2022-04-06 13:31:43.080000,2022-04-06 13:31:39.267000,1774512375.0,2.26247892449177
.,.,1,1,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,5,1,1,2,1,2,5,3,2,2,2,3,2,3,53.0,54.0,2,3,2,1,1,2,3,2,2,3,1,1,1,2,1,1,2,1995.0,26.0,1,3,3,4,2,5,2,48,3,1,2,.,4,1,2,2,2,2,1,2,2,1,2,3,4,2,5,11,2,2022-04-05 19:42:51.359000,2022-04-05 19:48:05.621000,2022-04-05 19:48:05.466000,1774592239.0,0.361066102947151
2,2,.,.,2,2,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,3,1,2,2,4,3,6,1,1,1,2,3,3,1,50.0,50.0,2,2,1,1,1,2,2,2,2,3,2,2,2,7,2,6,1,2000.0,21.0,1,1,1,2,1,5,2,6,4,1,1,1,3,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2022-04-05 19:27:39.941000,2022-04-05 19:48:28.471000,2022-04-05 19:48:28.343000,1774549255.0,1.16826246120197
.,.,2,2,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,2,3,2,3,4,4,5,1,2,3,3,3,3,3,46.0,40.0,3,3,2,2,2,2,2,5,2,3,1,1,2,6,1,2,2,1978.0,43.0,2,2,2,5,3,6,2,45,3,2,1,1,5,1,2,2,2,2,1,2,2,1,2,1,5,1,1,1,2,2022-04-05 19:37:42.356000,2022-04-05 19:50:03.376000,2022-04-05 19:49:59.806000,1774586243.0,0.439044214885178
.,.,1,1,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,1,2,2,2,2,5,3,1,3,3,3,3,2,4,91.0,30.0,5,3,2,1,2,2,1,2,3,5,1,1,2,7,2,6,1,1987.0,34.0,2,1,1,1,1,5,2,4,4,3,3,1,7,2,2,2,2,1,2,2,2,1,2,2,6,1,6,2,2,2022-04-05 19:35:36.420000,2022-04-05 19:52:26.607000,2022-04-05 19:52:23.393000,1774583475.0,1.61510109953905
